DM_OPPTY_ID,activity,is_complete_yn,description,completed_date
2764,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2765,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2766,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2767,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2768,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2769,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2770,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2771,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2772,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2773,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2774,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2775,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2776,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2777,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2778,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2779,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2780,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2781,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2782,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2783,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2784,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2785,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2786,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2787,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2788,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2789,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2790,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2791,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2792,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2793,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2794,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2795,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2796,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2797,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2798,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2799,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2800,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2801,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2802,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2803,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2804,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2805,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2806,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2807,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2808,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2809,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2810,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2811,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2812,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2813,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2814,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2815,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2816,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2817,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2818,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2819,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2820,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2821,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2822,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2823,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2824,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2825,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2826,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2827,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2828,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2829,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2830,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2831,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2832,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2833,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2834,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2835,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2836,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2837,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2838,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2839,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2840,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2841,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2842,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2843,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2844,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2845,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2846,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2847,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2848,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2849,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2850,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2851,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2852,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2853,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2854,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2855,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2856,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2857,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2858,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2859,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2860,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2861,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2862,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2863,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2864,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2865,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2866,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2867,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2868,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2869,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2870,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2871,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2872,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2873,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2874,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2875,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2876,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2877,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2878,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2879,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2880,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2881,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2882,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2883,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2884,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2885,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2886,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2887,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2888,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2889,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2890,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2891,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2892,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2893,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2894,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
2895,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
2896,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
2897,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
2898,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
2899,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
